time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-12T03:13:55.360Z,37.6396675,-118.9101639,6.1,0.87,md,12,53,0.01159,0.03,nc,nc73196316,2019-06-12T03:21:03.473Z,"6km E of Mammoth Lakes, CA",earthquake,0.72,1.34,0.19,11,automatic,nc,nc
2019-06-12T03:03:17.830Z,37.6356659,-118.9093323,2.43,1.05,md,10,74,0.01085,0.05,nc,nc73196311,2019-06-12T03:11:02.422Z,"6km E of Mammoth Lakes, CA",earthquake,0.6,0.55,0.12,9,automatic,nc,nc
2019-06-12T02:59:38.935Z,63.5693,-147.3407,11.6,1.3,ml,,,,0.52,ak,ak0197hm54jf,2019-06-12T03:04:40.535Z,"82km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-06-12T02:38:27.239Z,61.6724,-150.7442,50.5,1.3,ml,,,,0.58,ak,ak0197hm0n0h,2019-06-12T02:41:45.369Z,"38km WSW of Willow, Alaska",earthquake,,1.4,,,automatic,ak,ak
2019-06-12T02:33:15.040Z,37.6464996,-118.8759995,3.08,1.37,md,10,126,0.01667,0.03,nc,nc73196286,2019-06-12T03:14:03.430Z,"9km E of Mammoth Lakes, CA",earthquake,0.47,1.02,0.1,11,automatic,nc,nc
2019-06-12T02:31:08.280Z,38.8139992,-122.8258362,1.91,0.44,md,15,65,0.005751,0.05,nc,nc73196281,2019-06-12T03:03:03.373Z,"7km NW of The Geysers, CA",earthquake,0.28,0.51,0.13,2,automatic,nc,nc
